iter	R2	RMSE
377	0.9347458565	19728.44715
378	0.9347515074	19727.59292
379	0.9347561744	19726.88738
380	0.9347573322	19726.71233
381	0.9347738122	19724.22073
382	0.9349758786	19693.64488
383	0.9350007217	19689.88243
384	0.9350066205	19688.98896
385	0.9350129689	19688.02735
386	0.9350196551	19687.01453
387	0.9350403973	19683.87217
388	0.9350415024	19683.70473
389	0.9350466114	19682.93065
390	0.9350607773	19680.78419
391	0.9350671364	19679.82055
392	0.9350767429	19678.36473
393	0.9351048199	19674.10917
394	0.9351181879	19672.08273
395	0.9351227146	19671.39646
396	0.9351270902	19670.73308
397	0.9351383776	19669.02175
398	0.9351551491	19666.4786
399	0.9351711304	19664.05505
400	0.9351806139	19662.61674
401	0.9352089759	19658.31451
402	0.9352191142	19656.7764
403	0.9352264125	19655.66911
404	0.9352288018	19655.30658
405	0.9352342588	19654.47857
406	0.9352422006	19653.27346
407	0.9356874372	19585.5948
408	0.9360921319	19523.87515
409	0.9362227664	19503.91061
410	0.9362250647	19503.55916
411	0.9362364555	19501.81733
412	0.9363277161	19487.85644
413	0.9363296116	19487.56635
414	0.9363328278	19487.07418
415	0.9365030524	19461.00583
416	0.9365109313	19459.79839
417	0.9365211659	19458.22985
418	0.9365233017	19457.90247
419	0.9365312423	19456.68537
420	0.9365351608	19456.08476
421	0.9365875246	19448.05665
422	0.9366789419	19434.03308
423	0.9366797365	19433.91113
424	0.9367117638	19428.99568
425	0.9367138372	19428.67743
426	0.9367207468	19427.61678
427	0.9367837464	19417.94349
428	0.9367908085	19416.85884
429	0.9367942821	19416.32531
430	0.9368000052	19415.44624
431	0.9368217027	19412.11316
432	0.9368244926	19411.68455
433	0.9368289211	19411.00417
434	0.9368339633	19410.22947
435	0.9368894265	19401.70599
436	0.9368958354	19400.72084
437	0.9369010291	19399.92245
438	0.9369072619	19398.96427
439	0.9369126215	19398.14031
440	0.9369172036	19397.43585
441	0.9369384475	19394.16941
442	0.9369432916	19393.42452
443	0.9369640592	19390.23065
444	0.9369668182	19389.8063
445	0.9369690084	19389.46944
446	0.9369972346	19385.12751
447	0.9370368629	19379.02999
448	0.9370404561	19378.47702
449	0.9370444513	19377.86216
450	0.9370497494	19377.04677
451	0.9370616748	19375.21128
452	0.937067338	19374.33956
453	0.9370720837	19373.60904
454	0.9371058878	19368.40476
455	0.9371111435	19367.59549
456	0.9371143644	19367.09953
457	0.9372049596	19353.14407
458	0.9372078933	19352.69197
459	0.9372516646	19345.94557
460	0.9372867897	19340.53008
461	0.9372917639	19339.76304
462	0.9372973845	19338.8963
463	0.9373016478	19338.23882
464	0.9373033939	19337.96954
465	0.9373037753	19337.91073
466	0.9373163066	19335.97808
467	0.9373393482	19332.42399
468	0.9373440968	19331.69143
469	0.9373507303	19330.66809
470	0.9373771884	19326.58578
471	0.9373854459	19325.31155
472	0.9373858134	19325.25482
473	0.9373884744	19324.84416
474	0.93739072	19324.49758
475	0.9373996787	19323.11498
476	0.9374061531	19322.11575
477	0.9374157945	19320.62765
478	0.9374175448	19320.35747
479	0.9375099392	19306.09031
480	0.9375113494	19305.87247
481	0.9375137377	19305.50355
482	0.9375148299	19305.3348
483	0.9375326254	19302.58556
484	0.9375422809	19301.09375
485	0.937546583	19300.429
486	0.9375513778	19299.68812
487	0.9375517853	19299.62516
488	0.9375542573	19299.24318
489	0.9375566006	19298.88107
490	0.9375592267	19298.47526
491	0.9375713025	19296.60905
492	0.9375777149	19295.618
493	0.9375913902	19293.50419
494	0.9375919592	19293.41623
495	0.9375963068	19292.74418
496	0.93763444	19286.84858
497	0.9376352755	19286.71939
498	0.9376391108	19286.12632
499	0.937642813	19285.55386
